[6] '第一章 （A)' 段126 字21402 | '第一章980°21*所有人在本性上都愿求知。其标志就是我们对感觉的爱好；因为除了它们的用处之外，它们本身就被喜' | 页码['980°'] | 内标题['第一章', '第二章', '第三章', '第三章', '第三章', '第四章', '第六章', '第六章', '第七章', '第七章', '第八章', '第八章', '第九章', '第九章']
[18] '第五章 （△）1第一章' 段5 字851 | '而得以认识的东西，一这也叫作事物的开端[原理]，例如假设是证明的开端（原因也能有相同数目的不同的意义，因为所有' | 页码[] | 内标题[]
[19] '第五章 （△）1第二章' 段21 字4041 | '就作为雕像而言，然而却不是以同样的方式。一个是作为质料，而另一个是作为运动的源泉），并且诸事物可以相互是原因（' | 页码[] | 内标题['第四章']
[20] '第五章 （△）1第五章' 段4 字1041 | '那个不能是另外一个样的东西就必然地是像它那样的。*并且从这个意35义的“必然性”，所有其他的意义就都以某种方式' | 页码[] | 内标题[]
[21] '第五章 （△）1第六章' 段59 字8350 | '（2）有些事物由于它们本身而被称作一。（a）有些事物是由于*它1016们是连续的，例如一捆东西是由一个带子而捆' | 页码[] | 内标题['第七章', '第十一章', '第十一章', '第十二章']
[22] '第五章 （△）1第十二章' 段24 字4353 | '这些东西的影响），则是由于一种“潜能”，并因为它们“能够”微某种事情而且都处于某种被动的状态。' | 页码[] | 内标题['第十三章', '第十四章', '第十五章']
[23] '第五章 （△）1第十五章' 段5 字918 | '同的事物说两次。相似地，观看是对某事物的观看，*而不是“关于对1021于它加以观看的东西的观看”（当然，尽管这' | 页码[] | 内标题['第十六章']
[24] '第五章 （△）1第十六章' 段11 字2258 | '些意义上被如此称呼的，有的事物是在善的方面不缺少任何东西，并且不能被超越，而且它们特有的部分不能在它们之外找到' | 页码['1022°'] | 内标题['第十七章', '第十八章', '第十九章', '第二十章', '第二十二章']
[25] '第五章 （△）1第二十二章' 段38 字5873 | '具有不完善的足。再有，一个缺失的词可以意味着*“在很小程度上具有某事物”，例如，“无核的”，这意味着以不完善的' | 页码[] | 内标题['第二十三章', '第二十五章', '第二十六章', '第二十六章', '第二十七章', '第二十八章', '第二十八章', '第二十九章', '第二十九章', '第三十章']
[26] '第六章 (E)' 段19 字5096 | '*我们探寻的是事物的原理和原因，而且很明显这些事物是作为存5在的事物。这里有健康和身体状况良好的原因，并且数学' | 页码[] | 内标题['第二章', '第六章', '第三章', '第四章']
[27] '第七章 (Z)第一章' 段18 字2616 | '第七卷 (Z)第一章第二章第三章第四章第五章第六章第七章第八章第九章第十章第十一章第十二章第十三章第十四章第十' | 页码[] | 内标题['第一章']
[28] '第七章 （Z）1第三章' 段11 字2464 | '什么东西而仅仅只有质料会保留下来。因为其余的都是物体的种种属性、产物和潜能，长度、宽度和深度等等数量，它们都*' | 页码[] | 内标题[]
[29] '第七章 （Z）1第四章' 段23 字3658 | '有属才会有本质，因为在这些属中主体不被看作分有属性并且作为一种性质而具有它，也并非作为偶性而具有它；但是对于每' | 页码[] | 内标题[]
[30] '第七章 （Z）1第六章' 段9 字1257 | '因为它具有两种意义，那么说它本身与它的本质等同，就不是真的了：' | 页码[] | 内标题[]
[31] '第七章 （Z）1第七章' 段18 字2447 | '都被称为“制造物”（πounoeig/Productions），而所有的制造物的制造或者出于技艺，或者出自一种' | 页码[] | 内标题[]
[32] '第七章 （Z）1第八章' 段18 字2497 | '形式也是如此，或者呈现在感性事物中的，我们应当称之为形状的无论什么东西，都不是被产生出来的，也没有任何它的产品' | 页码[] | 内标题[]
[33] '第七章 （Z）1第九章' 段3 字804 | '证也适用于所有相似的原初的类，亦即量、*质，以及其他范畴。因为10就像铜球的生成，但不是球的生成，也不是铜的生' | 页码[] | 内标题[]
[34] '第七章 （Z）1第十章' 段13 字2926 | '的一部分。再有，青铜是这座具体雕像的一部分，而不是在形式意义下的雕像的一部分。（因为形式，或者具有形式的事物，' | 页码[] | 内标题[]
[35] '第七章 （Z）1第十一章' 段13 字1599 | '人，以及铜和右头之于雕像：他们把所有事物都归结为数，并且说“线”' | 页码[] | 内标题['第十二章']
[36] '第七章 （z）1第十一章' 段8 字986 | '会出现，因为它们甚至不是在那个意义上的实体的部分，而是具体实体的部分；但是有关于这个，在一种意义上有一个公式，' | 页码[] | 内标题['第五章', '第六章']
[37] '第七章 （Z）1第十二京' 段21 字2491 | '属性在这个定义中必须是一：因为定义是一个单个的公式并且是一个实体的公式，所以它必定是某一个事物的公式。因为正如' | 页码[] | 内标题['第三章']
[38] '第七章 （Z）1第十三京' 段9 字988 | '们能够是一个（例如“倍”是潜在地由两个一半组成：因为[两个一半】' | 页码[] | 内标题['第十四章']
[39] '第七章 （Z）1第十四京' 段5 字952 | '一起的”并且是“有接触的”，或者是“混合着的”。然而，所有这些表达都是荒谬的。' | 页码[] | 内标题[]
[40] '第七章 （Z）1第十五章' 段18 字3458 | '在灵魂中保持不变，*也将不再有定义或证明了。所以在有关定义的场5合，当我们试图定义任何个别的事物时，我们一定不' | 页码[] | 内标题['第十六章', '第十七章']
[41] '第七章 （Z）1第十七京' 段2 字324 | '如果它是一个复合体，显然它不是一个而是多个元素组合而成（否则那一个[元素】将是事物本身），所以，在这个情况下，' | 页码[] | 内标题[]
[42] '第八章 (H)' 段49 字8453 | '1042°3*我们必须从我们已经说过的得出结论，在总结结果之后，使我的5研究得以完成。我们已经说过：实体的原因' | 页码['1042°'] | 内标题['第二章', '第三章', '第一章', '第一章', '第二章', '第二章', '第八章', '第八章', '第三章', '第四章', '第六章']
[43] '第九章 （⊙)' 段5 字452 | '*我们现在已经处理了首要意义的存在（tovπpotocovtog/Beingintheprimarysense' | 页码[] | 内标题['第一章']
[44] '第九章 （e）1第一章' 段23 字3846 | '因为有的是在类似（ouootmti）的方式上使用的，比如在几何学中，我们说事物可能或不可能因为它们在某种特殊方' | 页码[] | 内标题['第二十二章', '第三章']
[45] '第九章 （e）1第四章' 段3 字673 | '如果它们是这样地关联着：如果A存在，B也必定存在。于是如果*A25和B是那样的关联着，而B却并非是可能的，那么' | 页码[] | 内标题[]
[46] '第九章 （e）1第五章' 段5 字828 | '这个动物决定性地期望，当它出现时，它就将动作并以适合于所说的潜能的方式遇上这个被动的对象。因而每个具有理性潜能' | 页码[] | 内标题[]
[47] '第九章 （e）1第六章' 段15 字3014 | '使用的，而是在类比的意义上，如这个是在那个之中或相对于那个而言，或者这个东西是在那个东西之中或相对于那个东西而' | 页码[] | 内标题['第七章', '第七章']
[48] '第九章 （θ）1第八章' 段40 字5284 | '是：相对于这个*现在实际上存在的特殊的人、谷物以及看的主体，质20料、精子以及可以看的东西（它们潜在地是人，谷' | 页码[] | 内标题[]
[49] '第九章 （θ）1第十章' 段1 字245 | '关于不运动的事物也很清楚，*在时间方面不可能有欺骗，如果我5们假设有不运动的事物的话。例如，我们假定三角形是不' | 页码[] | 内标题[]
[50] '第十章 (1)' 段114 字15647 | '1052°15*二”有多种意义，在前面关于区分几种意义时已经说过了。但是，尽管它具有多种意义，那些首要地和由于' | 页码['1052°'] | 内标题['第五章', '第一章', '第一章', '第十三章', '第二章', '第四章', '第五章', '第六章', '第七章', '第四章', '第八章', '第二十八章', '第十章']
[51] '第十一章 （K）' 段104 字21258 | '1059°18*智慧是一门关于第一原理的科学，这从导论性诸章的论述已经20是很清楚的了。在那里我们已经对其他人' | 页码['1059°'] | 内标题['第一章', '第二章', '第五章', '第七章', '第二章', '第十一章']
[52] '第十一章 （K）1第十二章' 段5 字1101 | '由于没有实体的运动或者关系的运动或者主动和被动的运动，剩下的是，运动是关于质和量和地点的；因为这一些之中的每一' | 页码[] | 内标题[]
[53] '第十二章 （A）' 段2 字476 | '1069°18*我们的研究是关于实体的：因为我们研究的是关于实体的本原和20原因。因为如果把宇宙看作一个整体，' | 页码['1069°'] | 内标题[]
[54] '第十二章 （△）' 段31 字4157 | '第一章不论是一还是多；另一类是不运动的，而且有人说它是分离地存在的，有人把它划分为两类，*另外的人则将形式与数' | 页码[] | 内标题['第二章', '第三章']
[55] '第十二章 （A）丨第五章' 段18 字2378 | '在的东西，例如，父亲，以及（4）在此之外，太阳及黄道，它既不是人的质料也不是人的形式，也不是人的缺失，也不是与' | 页码[] | 内标题[]
[56] '第十二章 （A）丨第六京' 段7 字1191 | '地甚至不能解释*他有时认为是运动的源泉的，亦即那本身运动的东西，①究竞是什么：因为根据他的看法，灵魂是在后的，' | 页码[] | 内标题[]
[57] '第十二章 （△）第七京' 段12 字1699 | '而在实体中，首先是简单的和现实地存在的东西。（“一”和“简单的”' | 页码[] | 内标题[]
[58] '第十二章 （△）丨第七京' 段4 字840 | '且是与感性事物相分离的。*还已经表明：这个实体不能有任何大小而5是没有部分的和不可分的（因为它通过无限的时间而' | 页码[] | 内标题[]
[59] '第十二章 （A）第八京' 段16 字1752 | '了这些问题），这样，这些空间运动中的每一种也必须由一个本身不动和永恒的实体所引起。因为这些星球②*作为一种实体' | 页码[] | 内标题[]
[60] '第十二章 （△）第八京' 段25 字3636 | '这样，让我采用星球的这个数目，*因而不动的实体及本原也许15也是这么多；至于必然的论断则留待更强的思想家去作吧' | 页码[] | 内标题[]
[61] '第十二章 （△）第十章' 段9 字1500 | '阿那克萨哥拉把善作为一个运动的本原，因为心灵推动诸事物，但是为了某个目的而推动它们的必定是某个与它不同的东西一' | 页码[] | 内标题[]
[62] '第十三章 （M）' 段47 字7700 | '1076*8*我们已经说明了什么是可感觉事物的实体，在关于物理学研究的10著作中讨论了质料，随后，又讨论了作为' | 页码[] | 内标题['第一章', '第二章', '第二章', '第三章']
[63] '第五章 ?' 段12 字2242 | '*最重要的是人们也许会问形式对于世界上的可感觉的事物，无论107912是对于永恒的事物还是对于有生灭的事物，究' | 页码[] | 内标题[]
[64] '第十三章 （M）' 段67 字12297 | '第六京不谈理念存在的人：还有人谈论数学对象，但不是以数学的方式来谈论：因为他们说既非每一个空间大小可分割为许多' | 页码[] | 内标题['第二章', '第九章', '第四章']
[65] '第十四章 (N)' 段102 字14272 | '1087°29关于这一类实体，我们说过的必定是足够了。所有的【哲学家]30*都把对立作为他们的本原，在自然事物' | 页码['1087°'] | 内标题['第一章', '第二章', '第三章', '第三章']
[66] '术语索引' 段235 字20517 | '42°36, 69°12, 88°32。' | 页码[] | 内标题[]
[67] '人名地名索引' 段73 字5100 | '《后分析篇》25°34.37*8，涉及《物A理学》983°33，985°12，986°30，AchillesA' | 页码['983°', '985°', '986°'] | 内标题[]
